xdac,yWE,
0.00244140625,0,
0.0048828125,0,
0.00244140625,0,
0.0048828125,0,
0.00244140625,0,
0.0048828125,0,
0.00732421875,0,
0.00732421875,0,
0.00732421875,0,
0.01220703125,0,
0.01220703125,0,
0.01220703125,0,
0.0146484375,0,
0.01708984375,0,
0.01708984375,0,
0.01708984375,0,
0.01953125,0,
0.02197265625,0,
0.0244140625,0,
0.0244140625,0,
0.0244140625,0,
0.02685546875,0,
0.029296875,0,
0.03173828125,0,
0.03173828125,0,
0.03173828125,0,
0.0341796875,0,
0.03662109375,0,
0.0390625,0.048828125,
0.0390625,0.048828125,
0.0390625,0.048828125,
0.04150390625,0.0244140625,
0.0439453125,0,
0.04638671875,0,
0.04638671875,0,
0.04638671875,0,
0.048828125,0,
0.05126953125,0,
0.05126953125,0,
0.05126953125,0,
0.0537109375,0,
0.05615234375,0,
0.05859375,0,
0.05859375,0,
0.05859375,0,
0.06103515625,0,
0.0634765625,0,
0.06591796875,0,
0.06591796875,0,
0.06591796875,0,
0.068359375,0,
0.07080078125,0,
0.0732421875,0,
0.0732421875,0,
0.0732421875,0,
0.07568359375,0,
0.078125,0,
0.078125,0,
0.078125,0,
0.08056640625,0,
0.0830078125,0,
0.08544921875,0,
0.08544921875,0,
0.087890625,0,
0.09033203125,0,
0.0927734375,0,
0.0927734375,0,
0.08544921875,0,
0.087890625,0,
0.09765625,0,
0.0927734375,0,
0.09521484375,0,
0.09765625,0,
0.09765625,0,
0.1000976563,0,
0.1025390625,0,
0.1049804688,0,
0.1049804688,0,
0.1049804688,0,
0.107421875,0.0244140625,
0.1098632813,0,
0.1123046875,0,
0.1123046875,0,
0.1123046875,0,
0.1147460938,0,
0.1171875,0,
0.1196289063,0,
0.1196289063,0,
0.1196289063,0,
0.1220703125,0.0341796875,
0.1245117188,0,
0.126953125,0,
0.126953125,0,
0.126953125,0,
0.1293945313,0,
0.1318359375,0,
0.1342773438,0,
0.13671875,0,
0.1318359375,0,
0.1342773438,0,
0.1342773438,0,
0.13671875,0,
0.1391601563,0,
0.1416015625,0,
0.1416015625,0,
0.1416015625,0.05859375,
0.1440429688,0,
0.146484375,0,
0.1489257813,0.05859375,
0.009765625,0,
0.146484375,0,
0.1489257813,0,
0.1489257813,0,
0.1513671875,0,
0.1538085938,0,
0.1538085938,0,
0.15625,0,
0.1586914063,0,
0.1611328125,0,
0.1635742188,0,
0.1586914063,0,
0.1611328125,0,
0.1635742188,0,
0.1586914063,0,
0.1611328125,0,
0.1635742188,0,
0.166015625,0,
0.166015625,0,
0.166015625,0,
0.1684570313,0,
0.1708984375,0,
0.1733398438,0,
0.1733398438,0,
0.1733398438,0,
0.17578125,0,
0.1782226563,0,
0.1806640625,0,
0.1831054688,0,
0.1831054688,0,
0.1831054688,0,
0.185546875,0,
0.1879882813,0,
0.1904296875,0,
0.1879882813,0,
0.1904296875,0,
0.1904296875,0,
0.1928710938,0,
0.1953125,0,
0.1977539063,0,
0.1977539063,0,
0.1977539063,0,
0.2001953125,0,
0.2026367188,0,
0.205078125,0,
0.2075195313,0,
0.2075195313,0,
0.2075195313,0,
0.2099609375,0,
0.2124023438,0,
0.21484375,0,
0.21484375,0,
0.21484375,0,
0.2172851563,0,
0.2197265625,0,
0.2221679688,0,
0.2221679688,0,
0.2221679688,0,
0.224609375,0,
0.2270507813,0,
0.2294921875,0,
0.2319335938,0,
0.2319335938,0,
0.2319335938,0,
0.234375,0,
0.2368164063,0,
0.2392578125,0,
0.2392578125,0,
0.2392578125,0,
0.2416992188,0,
0.244140625,0.009765625,
0.2465820313,0.009765625,
0.2465820313,0,
0.009765625,0,
0.244140625,0.009765625,
0.2465820313,0,
0.2490234375,0,
0.2514648438,0.21484375,
0.25390625,0.107421875,
0.2563476563,0.107421875,
0.2563476563,0.107421875,
0.2563476563,0,
0.2587890625,0.0390625,
0.2612304688,0,
0.263671875,0,
0.263671875,0,
0.263671875,0,
0.2661132813,0,
0.2685546875,0,
0.2709960938,0,
0.2709960938,0,
0.2709960938,0,
0.2734375,0,
0.2783203125,0,
0.2783203125,0,
0.2783203125,0,
0.2807617188,0,
0.283203125,0,
0.2880859375,0,
0.2880859375,0,
0.2880859375,0,
0.2905273438,0,
0.29296875,0,
0.2978515625,0,
0.2978515625,0,
0.2978515625,0.146484375,
0.3002929688,0,
0.302734375,0,
0.3076171875,0,
0.3076171875,0,
0.3076171875,0,
0.3100585938,0,
0.3125,0,
0.3173828125,0,
0.3173828125,0,
