V,uA
-0.50017,-143.695
-0.510378,-140.615
-0.520586,-131.991
-0.530793,-125.439
-0.541001,-120.175
-0.551208,-115.695
-0.561416,-111.887
-0.571623,-108.527
-0.581831,-105.503
-0.592039,-102.759
-0.602246,-100.239
-0.612454,-97.88756
-0.622661,-95.759568
-0.632869,-93.743576
-0.643076,-91.839584
-0.653284,-90.047592
-0.663492,-88.367608
-0.673699,-86.799608
-0.683907,-85.343616
-0.694114,-83.943624
-0.704322,-82.599632
-0.714529,-81.311632
-0.724737,-80.19164
-0.734945,-79.015648
-0.745152,-77.895648
-0.75536,-76.887656
-0.765567,-75.879656
-0.775775,-74.927664
-0.785982,-73.975672
-0.79619,-73.135664
-0.806398,-72.295672
-0.816605,-71.45568
-0.826813,-70.61568
-0.83702,-69.887688
-0.847228,-69.159696
-0.857435,-68.487696
-0.867643,-67.815696
-0.87785,-67.143696
-0.888058,-66.4717
-0.898266,-65.855704
-0.908473,-65.295708
-0.918681,-64.679712
-0.928888,-64.119708
-0.939096,-63.559716
-0.949303,-63.055716
-0.959511,-62.55172
-0.969719,-62.04772
-0.979926,-61.543724
-0.990134,-61.039724
-1.000341,-60.591728
-0.990134,-60.143732
-0.979926,-59.695732
-0.969719,-59.247732
-0.959511,-58.855736
-0.949303,-58.40774
-0.939096,-58.01574
-0.928888,-57.62374
-0.918681,-57.231744
-0.908473,-56.839744
-0.898266,-56.503748
-0.888058,-56.167748
-0.87785,-55.775748
-0.867643,-55.439752
-0.857435,-55.047752
-0.847228,-54.711756
-0.83702,-54.375756
-0.826813,-54.095756
-0.816605,-53.75976
-0.806398,-53.47976
-0.79619,-53.19976
-0.785982,-52.86376
-0.775775,-52.583764
-0.765567,-52.303764
-0.75536,-52.023768
-0.745152,-51.743764
-0.734945,-51.463768
-0.724737,-51.239772
-0.714529,-50.903772
-0.704322,-50.679772
-0.694114,-50.399772
-0.683907,-50.119776
-0.673699,-49.895776
-0.663492,-49.615776
-0.653284,-49.391776
-0.643076,-49.16778
-0.632869,-48.94378
-0.622661,-48.71978
-0.612454,-48.495784
-0.602246,-48.21578
-0.592039,-47.991784
-0.581831,-47.767788
-0.571623,-47.599784
-0.561416,-47.375788
-0.551208,-47.207788
-0.541001,-46.983788
-0.530793,-46.759792
-0.520586,-46.535792
-0.510378,-46.367792
-0.50017,-46.199792
-0.489963,-45.975796
-0.479755,-45.751792
-0.469548,-45.583796
-0.45934,-43.119808
-0.449133,-40.543816
-0.438925,-38.079828
-0.428717,-35.67184
-0.41851,-33.31985
-0.408302,-31.02386
-0.398095,-28.78387
-0.387887,-26.59988
-0.37768,-24.41589
-0.367472,-22.2319
-0.357264,-20.10391
-0.347057,-18.03192
-0.336849,-15.959929
-0.326642,-13.943937
-0.316434,-11.927947
-0.306227,-9.911956
-0.296019,-7.951964
-0.285811,-6.047973
-0.275604,-4.143981
-0.265396,-2.23999
-0.255189,-0.377998
-0.244981,1.455993
-0.234774,3.289985
-0.224566,5.081977
-0.214358,6.873969
-0.204151,8.623961
-0.193943,10.373953
-0.183736,12.095946
-0.173528,13.789938
-0.163321,15.49793
-0.153113,17.163924
-0.142905,18.815914
-0.132698,20.439908
-0.12249,22.049902
-0.112283,23.631894
-0.102075,25.213888
-0.091868136,26.75388
-0.08166056,28.293872
